@RELATION svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {DecryptionData,RegularProcessingData,EncryptionData}

@DATA
0.123464,0.038914,3.288423,0.177630,0.194062,1.278923,0.001314,0.174696,-21.444162,0.607081,-0.110775,0.290283,0.205768,0.065168,0.085377,-0.023068,0.147343,-0.085895,0.107564,-0.016953,0.015517,0.009133,0.003476,0.011770,0.008797,0.010366,0.007030,0.017967,0.002860,0.004337,0.006405,0.008153,0.007885,0.005501,0.006861,0.003304,0.014210,0.006495,0.006735,0.043939,0.000168,0.003564,0.164676,0.154403,0.127717,0.156890,0.147205,0.131402,0.142325,0.126902,0.119965,0.120787,0.122792,0.122412,0.119479,0.003986,0.001560,0.004791,0.003816,0.004586,0.003359,0.007011,0.001553,0.002073,0.003503,0.003499,0.002862,0.001494,DecryptionData
0.121355,0.035165,3.290378,0.176687,0.193582,1.262778,0.001374,0.173646,-21.594328,0.656159,-0.081408,0.286150,0.202214,0.090771,0.068995,-0.022294,0.151400,-0.107600,0.096240,-0.082628,-0.048849,0.013875,0.003875,0.012847,0.009434,0.010819,0.007236,0.018300,0.002919,0.004570,0.006611,0.009026,0.007312,0.006126,0.007824,0.003349,0.013974,0.006843,0.007751,0.050387,0.000179,0.003815,0.173897,0.158390,0.148785,0.156171,0.136399,0.153005,0.150998,0.140118,0.143453,0.146639,0.135515,0.138791,0.137319,0.005139,0.002248,0.006465,0.004252,0.005434,0.004002,0.007228,0.002285,0.002551,0.003033,0.004352,0.003180,0.001697,DecryptionData
0.122355,0.046554,3.290657,0.176317,0.192823,1.268695,0.001357,0.173272,-21.211010,0.640693,-0.111190,0.266844,0.185154,0.057753,0.056212,-0.043149,0.144552,-0.084157,0.102340,-0.073329,-0.058636,0.014592,0.003782,0.011695,0.009241,0.010718,0.007481,0.018546,0.002559,0.004815,0.005227,0.008171,0.007524,0.006071,0.007102,0.003922,0.012327,0.006455,0.007268,0.047681,0.000177,0.003906,0.149693,0.137828,0.123849,0.138983,0.130276,0.128466,0.129866,0.125684,0.122981,0.134768,0.134390,0.137164,0.131820,0.005628,0.001957,0.005594,0.003628,0.005632,0.003632,0.007437,0.001461,0.002604,0.002253,0.003548,0.003750,0.001679,DecryptionData
0.120417,0.039787,3.292261,0.175203,0.192142,1.251102,0.001361,0.172431,-21.433307,0.648311,-0.124318,0.249720,0.180231,0.076302,0.085574,0.017161,0.197368,-0.123112,0.071892,-0.077695,-0.033526,0.012140,0.005268,0.012161,0.008688,0.009292,0.006781,0.017408,0.002861,0.004160,0.006022,0.009569,0.008248,0.006140,0.008227,0.004549,0.011783,0.006618,0.007250,0.058820,0.000197,0.004108,0.171559,0.149411,0.136928,0.147815,0.161458,0.135825,0.116866,0.154763,0.136180,0.127357,0.137456,0.135553,0.135832,0.006139,0.004559,0.006032,0.003982,0.005147,0.003644,0.006559,0.002231,0.001976,0.003094,0.004408,0.003845,0.001789,DecryptionData
0.122883,0.048624,3.291219,0.175125,0.191662,1.271195,0.001325,0.173957,-21.156408,0.593986,-0.111181,0.296504,0.238971,0.089744,0.055649,-0.043168,0.150536,-0.065053,0.128749,-0.053004,-0.026109,0.008458,0.003521,0.012796,0.008393,0.009979,0.006615,0.019612,0.002671,0.004728,0.005803,0.008496,0.007959,0.005734,0.006326,0.003721,0.015329,0.006220,0.006953,0.040828,0.000163,0.003469,0.141254,0.156392,0.149070,0.134680,0.137341,0.142473,0.144992,0.124548,0.134956,0.111662,0.111649,0.119912,0.122823,0.003892,0.001759,0.005723,0.003687,0.004723,0.003130,0.007566,0.001465,0.002114,0.002407,0.003607,0.003553,0.001819,DecryptionData
0.120397,0.031141,3.293901,0.172982,0.188608,1.261397,0.001345,0.173565,-21.753622,0.609912,-0.108955,0.267628,0.153823,0.062268,0.065876,-0.004946,0.180673,-0.096216,0.108752,-0.059522,-0.039988,0.014557,0.003506,0.012120,0.008973,0.009833,0.007507,0.017095,0.002847,0.003833,0.005657,0.008842,0.007933,0.005748,0.007264,0.002560,0.012525,0.006949,0.008106,0.043381,0.000157,0.003538,0.146993,0.158536,0.136225,0.136445,0.134351,0.120630,0.126784,0.135279,0.106601,0.118905,0.144540,0.136952,0.117301,0.004386,0.001702,0.005641,0.003839,0.005083,0.003529,0.006383,0.001542,0.001836,0.002389,0.003800,0.003704,0.001307,DecryptionData
0.120727,0.019716,3.288565,0.172860,0.189734,1.253439,0.001364,0.172859,-22.408321,0.605854,-0.085418,0.301054,0.198799,0.066151,0.041497,-0.038210,0.149715,-0.103302,0.110192,-0.054887,-0.029404,0.014759,0.003797,0.012018,0.008788,0.010912,0.008062,0.017707,0.002958,0.004057,0.005990,0.008153,0.007179,0.005883,0.008316,0.003561,0.021556,0.008179,0.007876,0.065778,0.000197,0.004760,0.252994,0.181617,0.142837,0.156592,0.142265,0.127427,0.138873,0.131004,0.144288,0.138223,0.131537,0.125109,0.125313,0.004473,0.002147,0.005724,0.003682,0.005403,0.003665,0.007787,0.001640,0.001919,0.002991,0.003604,0.003437,0.001582,DecryptionData
0.119985,0.047858,3.288557,0.175801,0.193434,1.256259,0.001347,0.173478,-21.150519,0.673697,-0.064379,0.289492,0.178827,0.058747,0.068941,-0.020599,0.174740,-0.088600,0.118697,-0.040055,-0.028767,0.011868,0.004023,0.014726,0.008841,0.013246,0.007860,0.018135,0.002963,0.004555,0.005871,0.009217,0.007947,0.006569,0.007616,0.004788,0.016407,0.007146,0.007537,0.056892,0.000187,0.004306,0.172516,0.166512,0.118797,0.134179,0.145437,0.148300,0.135100,0.151688,0.134463,0.109923,0.117229,0.138251,0.153187,0.004137,0.001897,0.007219,0.004209,0.007923,0.004241,0.006955,0.002122,0.002691,0.002390,0.003903,0.003316,0.001865,DecryptionData
0.118977,0.032947,3.289995,0.173354,0.190781,1.248242,0.001390,0.172853,-21.675721,0.697693,-0.114680,0.274467,0.193449,0.062783,0.095028,-0.027571,0.150116,-0.084577,0.065382,-0.070033,-0.044304,0.010348,0.003630,0.012216,0.009034,0.010632,0.007303,0.018385,0.002519,0.004951,0.006716,0.010015,0.007798,0.006037,0.007176,0.003126,0.014494,0.006581,0.007522,0.052832,0.000199,0.003815,0.148136,0.167588,0.134039,0.137978,0.147811,0.154195,0.143256,0.131327,0.118735,0.114393,0.119854,0.117038,0.113939,0.004602,0.002086,0.005623,0.004239,0.005037,0.003727,0.005975,0.001298,0.002342,0.003962,0.006351,0.003186,0.001870,DecryptionData
0.118218,0.030139,3.283914,0.173746,0.193585,1.222084,0.001470,0.170347,-21.798485,0.781420,-0.097074,0.206298,0.164264,0.076928,0.082815,-0.024263,0.118835,-0.109408,0.090656,-0.074817,-0.057070,0.012551,0.004127,0.012901,0.009994,0.012783,0.007495,0.018227,0.002794,0.004286,0.006334,0.009440,0.008432,0.006489,0.011491,0.005670,0.018751,0.007970,0.007577,0.098246,0.000320,0.006562,0.227971,0.211365,0.134526,0.176241,0.141632,0.145562,0.151443,0.131943,0.119630,0.129204,0.113551,0.129855,0.121618,0.005128,0.002051,0.006240,0.004651,0.007437,0.004058,0.008326,0.002071,0.002361,0.003488,0.005320,0.004970,0.002079,DecryptionData
